N,P,K,temperature,humidity,ph,label
96,58,43,26.11280478,80.88000362,5.576181002,rice
88,40,38,21.39274746,83.69436657,5.368672401,rice
90,56,43,25.62442088,80.20247864,5.425695403,rice
64,54,37,25.67949479,83.80597037,6.117725499,rice
93,37,36,25.64570066,82.33578158,6.428907958,rice
97,54,45,25.45702291,83.60199563,6.323373654,rice
88,57,35,21.48200828,82.91355458,5.880710079,rice
66,60,42,20.35116049,83.35247305,6.854804775,rice
74,37,41,24.51228994,84.71806013,7.177771276,rice
83,52,37,24.44032827,81.24367305,6.805214308,rice
73,48,42,20.86387827,83.95817397,5.45043706,rice
84,50,37,21.1154174,84.1306942,5.965176119,rice
72,36,41,21.73487712,83.6780716,6.315973306,rice
94,51,42,24.59052925,83.81635339,7.848548645,rice
85,46,36,26.82591806,83.436614,7.708058134,rice
97,44,40,24.73996592,84.41066801,7.515087314,rice
98,47,39,21.2199674,81.1844428,5.924804029,rice
67,55,40,20.44582931,82.10616259,6.479842572,rice
92,38,38,22.58870291,82.02356425,6.120836932,rice
80,42,40,26.83546816,81.48097819,7.670472056,rice
70,47,43,23.95040612,84.77479893,6.040411679,rice
62,45,39,25.33415497,81.48397263,6.984807641,rice
80,42,41,23.97018917,82.37666312,5.812423213,rice
77,44,35,23.69323766,82.45461315,5.644801677,rice
83,49,36,26.35457426,83.41742799,5.386530268,rice
85,38,43,24.64959119,83.96404488,6.099676307,rice
63,36,38,25.94676655,82.53549112,7.783296854,rice
88,44,35,20.71741084,83.55613893,5.090648917,rice
67,44,39,26.42946413,83.25643644,5.361686289,rice
97,44,44,20.57415872,80.70805617,7.185874368,rice
63,46,41,20.50746045,84.17596955,6.697638746,rice
75,39,41,25.05095567,81.98344197,5.952166007,rice
80,46,38,22.79770512,83.22439802,5.804542287,rice
77,37,40,26.68644715,82.60385334,6.236451706,rice
79,39,36,20.51137333,84.74361916,5.322641711,rice
76,55,41,20.28001429,82.55721162,6.663137468,rice
82,43,37,26.46093755,83.64525448,5.681204301,rice
94,51,41,24.87435112,81.05908713,5.955486763,rice
82,56,37,24.63977836,84.67661015,5.239531848,rice
68,53,41,21.33165527,82.39966629,5.379227019,rice
94,47,36,23.09714405,84.8871018,7.778887249,rice
76,42,40,25.42170013,84.81112965,5.039817006,rice
61,37,43,21.14765177,84.76756479,7.056009082,rice
70,47,35,22.16344375,82.62919455,7.547657423,rice
89,41,37,24.83257757,81.74018682,6.970391713,rice
74,48,38,22.58444554,81.52677738,5.771133293,rice
71,40,45,25.98732013,84.92292002,5.03962708,rice
65,46,44,23.2885164,84.65006688,5.392411105,rice
99,57,44,23.34250835,82.29027999,6.355128812,rice
64,54,36,23.8187198,83.58454226,6.184554194,rice
91,38,37,25.72240564,81.08869089,6.126953664,rice
86,38,44,21.43225673,80.26113033,6.847492114,rice
89,40,45,21.7861905,81.46060147,7.753643226,rice
92,57,41,24.45923452,82.25263171,6.521921273,rice
65,54,35,25.75457144,82.87507464,7.210598082,rice
80,58,38,24.05561543,84.19720437,7.542797052,rice
85,38,45,25.11087822,84.4185024,7.714188981,rice
89,44,39,26.87590794,81.99254668,5.3639209,rice
74,47,43,26.88329105,80.88568304,7.376174042,rice
64,60,43,25.84033065,82.22728184,6.299175494,rice
63,56,41,24.95656793,80.68516211,6.956985044,rice
70,52,41,24.85314932,82.92886167,7.605046956,rice
77,47,45,23.24681806,80.55015272,7.651750522,rice
84,60,35,21.91203611,83.77722251,5.643773259,rice
95,50,37,23.60507671,84.24031824,6.203676745,rice
95,59,45,21.65417742,80.79363467,7.418822008,rice
75,37,38,22.80606425,82.2967273,6.650527634,rice
92,60,45,26.41088437,82.07131027,7.518760041,rice
92,37,38,24.23641727,84.9008708,6.70403248,rice
62,49,43,23.6998021,82.20152859,6.231813859,rice
67,57,41,21.62912337,81.40675982,6.825760206,rice
96,58,38,20.53626309,84.32472892,7.628583055,rice
70,51,43,25.58038598,81.52071934,5.21433936,rice
91,35,38,23.42921437,81.05619949,6.963428207,rice
72,49,45,21.77371719,80.5992276,6.080053344,rice
72,38,36,20.34405858,84.71539992,7.472518574,rice
83,58,39,25.10171735,81.83059427,5.359560545,rice
97,58,41,21.1950261,81.38665516,7.241946613,rice
71,44,44,23.03626028,80.70312715,6.219736196,rice
95,40,36,25.19637844,81.0422986,6.186803873,rice
89,58,37,22.53671724,81.8867401,5.622922854,rice
72,46,45,21.29453727,80.58087007,7.054113623,rice
62,54,41,26.10585697,82.68394934,7.47711705,rice
83,40,45,20.12055849,83.15769792,7.138121575,rice
88,43,40,22.00197307,82.98219679,5.799371875,rice
67,46,45,24.95000157,83.37543748,7.697357002,rice
65,58,35,21.1320921,80.27161565,6.413901967,rice
67,38,41,23.83961594,80.51430126,7.007872837,rice
73,55,43,25.60295263,84.37749166,7.773196666,rice
81,44,43,23.65371482,84.23919309,5.207637064,rice
91,43,35,21.57689637,83.49489824,7.262747218,rice
79,38,40,25.95787018,81.20058155,5.096041958,rice
88,58,45,26.8327125,81.96256469,6.386391092,rice
74,43,41,23.47324972,83.36987466,5.139788802,rice
98,55,35,25.83833551,81.80389119,6.302205677,rice
71,53,44,21.48545862,83.41266197,7.508996162,rice
65,36,37,22.87878456,81.07295455,6.471221367,rice
84,47,39,25.01750328,84.91872422,7.600679313,rice
